district_Name,property_size,property_price
,,
"فيلا للبيع في طريق بدون اسم, الرمال, الرياض",300 م²,"1,350,000 ريال"
,,
فيلا للبيع في شارع الحيرة ، حي الملقا ، الرياض ، الرياض,405 م²,"4,500,000 ريال"
,,
فيلا للبيع في حي الياسمين ، الرياض ، الرياض,375 م²,"3,700,000 ريال"
,,
فيلا للبيع في شارع الفانوس ، حي الفيحاء ، الرياض ، الرياض,700 م²,"2,200,000 ريال"
,,
فيلا للبيع في شارع القناني ، حي عكاظ ، الرياض ، الرياض,350 م²,"980,000 ريال"
,,
فيلا للبيع في طريق النفود ، حي عكاظ ، الرياض ، الرياض,325 م²,"1,100,000 ريال"
,,
فيلا للبيع في شارع احمد الكازرونى ، حي المهدية ، الرياض ، الرياض,200 م²,"1,430,000 ريال"
,,
"فيلا للبيع في شارع ابو عبيده النابلسي, حي عكاظ, الرياض",506 م²,"1,300,000 ريال"
,,
فيلا للبيع في شارع عبدالله بن عقيل ، حي ظهرة البديعة ، الرياض ، الرياض,216 م²,"1,230,000 ريال"
,,
فيلا للبيع في شارع ابي القاسم السبتي ، حي الرمال ، الرياض ، الرياض,300 م²,"1,280,000 ريال"
,,
فيلا للبيع في شارع ابي الطيب ، حي بدر ، الرياض ، الرياض,300 م²,"1,050,000 ريال"
,,
فيلا للبيع في شارع الصفار الذهبي ، حي عكاظ ، الرياض ، الرياض,308 م²,"1,200,000 ريال"
,,
فيلا للبيع في حي الرمال ، الرياض ، الرياض,324 م²,"1,500,000 ريال"
,,
فيلا للبيع في طريق النفود ، حي عكاظ ، الرياض ، الرياض,325 م²,"1,110,000 ريال"
,,
فيلا للبيع في شارع خيمر ، حي عكاظ ، الرياض ، الرياض,327 م²,"1,095,000 ريال"
,,
فيلا للبيع في حي الملقا ، الرياض ، الرياض,336 م²,"3,300,000 ريال"
,,
فيلا للبيع في شارع البنيان ، حي الغدير ، الرياض ، الرياض,600 م²,"4,200,000 ريال"
,,
فيلا للبيع في شارع اسماعيل بن ابراهيم الربعي ، حي طويق ، الرياض ، الرياض,230 م²,"1,350,000 ريال"
,,
فيلا للبيع في حي بدر ، الرياض ، الرياض,360 م²,"1,140,000 ريال"
,,
فيلا للبيع في حي ، طريق السيل الكبير ، حي المهدية ، الرياض ، الرياض,200 م²,"1,500,000 ريال"
,,
فيلا للبيع في شارع الكواكب ، حي القادسية ، الرياض,375 م²,"1,960,000 ريال"
,,
فيلا للبيع في شارع بعلبك ، حي عكاظ ، الرياض ، الرياض,300 م²,"1,160,000 ريال"
,,
فيلا للبيع في شارع رقم 94 ، حي ظهرة لبن ، الرياض ، الرياض,200 م²,"1,300,000 ريال"
,,
فيلا للبيع في شارع الحيرة ، حي الملقا ، الرياض ، الرياض,405 م²,"4,500,000 ريال"
,,
فيلا للبيع في طريق النفود ، حي عكاظ ، الرياض ، الرياض,325 م²,"1,100,000 ريال"
,,
فيلا للبيع في شارع حمزه العدوي ، حي طويق ، الرياض ، الرياض,360 م²,"1,450,000 ريال"
,,
فيلا للبيع في شارع سماح ، حي التعاون ، الرياض ، الرياض,325 م²,"2,850,000 ريال"
,,
فيلا للبيع في حي الرمال ، الرياض ، الرياض,300 م²,"1,330,000 ريال"
,,
فيلا للبيع في حي عكاظ ، الرياض ، الرياض,300 م²,"1,155,000 ريال"
,,
فيلا للبيع في حي طيبة ، الرياض ، الرياض,325 م²,"670,000 ريال"
,,
فيلا للبيع في شارع يحي الانسي ، حي طويق ، الرياض ، الرياض,270 م²,"1,140,000 ريال"
,,
فيلا للبيع في شارع عامر بن مسعود ، حي طويق ، الرياض ، الرياض,250 م²,"1,100,000 ريال"
,,
فيلا للبيع في حي الرمال ، الرياض ، الرياض,379 م²,"1,500,000 ريال"
,,
فيلا للبيع في شارع رقم 199 ، حي النرجس ، الرياض ، الرياض,250 م²,"2,650,000 ريال"
,,
فيلا للبيع في حي ، شارع عبدالله بن العاص ، حي العارض ، الرياض ، الرياض,480 م²,"3,200,000 ريال"
,,
فيلا للبيع في شارع السلامه ، حي النرجس ، الرياض ، الرياض,240 م²,"4,100,000 ريال"
,,
فيلا للبيع في شارع احمد بن الخطاب ، حي طويق ، الرياض ، الرياض,375 م²,"1,600,000 ريال"
,,
فيلا للبيع في شارع عامر بن مخلد النجاري ، حي الرمال ، الرياض ، الرياض,210 م²,"1,250,000 ريال"
,,
فيلا للبيع في حي اليرموك ، الرياض ، الرياض,322 م²,"2,100,000 ريال"
,,
فيلا للبيع في شارع لقاح ، حي عكاظ ، الرياض ، الرياض,313 م²,"980,000 ريال"
,,
فيلا للبيع في شارع الصفار الذهبي ، حي عكاظ ، الرياض ، الرياض,325 م²,"1,090,000 ريال"
,,
فيلا للبيع في حي المهدية ، الرياض ، الرياض,750 م²,"3,500,000 ريال"
,,
فيلا للبيع في حي المهدية ، الرياض ، الرياض,450 م²,"2,500,000 ريال"
,,
فيلا للبيع في حي العزيزية ، الرياض ، الرياض,360 م²,"1,400,000 ريال"
,,
فيلا للبيع في شارع القاسمي ، حي الرفيعة ، الرياض ، الرياض,1800 م²,"15,000,000 ريال"
,,
فيلا للبيع في شارع الحيرة ، حي الملقا ، الرياض ، الرياض,405 م²,"4,500,000 ريال"
,,
فيلا للبيع في شارع ابا الظلوف ، حي العزيزية ، الرياض ، الرياض,280 م²,"860,000 ريال"
,,
فيلا للبيع في شارع محمد بن عبدالباقي ، حي عرقة ، الرياض ، الرياض,4600 م²,"45,000,000 ريال"
,,
فيلا للبيع في طريق النفود ، حي عكاظ ، الرياض ، الرياض,350 م²,"1,130,000 ريال"
,,
فيلا للبيع في حي ، شارع وادي الحسنا ، حي المهدية ، الرياض ، الرياض,200 م²,"1,300,000 ريال"
,,
فيلا للبيع في طريق ابن تيمية ، حي الشفا ، الرياض ، الرياض,250 م²,"1,100,000 ريال"
,,
فيلا للبيع في شارع احمد بن محمد الحاوي ، حي طويق ، الرياض ، الرياض,300 م²,"1,180,000 ريال"
,,
فيلا للبيع في شارع الحضن ، حي الحزم ، الرياض ، الرياض,312 م²,"1,260,000 ريال"
,,
فيلا للبيع في شارع انس بن مالك ، حي الملقا ، الرياض ، الرياض,1960 م²,"16,000,000 ريال"
,,
فيلا للبيع في شارع الكاملي ، حي طويق ، الرياض ، الرياض,240 م²,"1,050,000 ريال"
,,
فيلا للبيع في شارع الخشني ، حي النهضة ، الرياض ، الرياض,476 م²,"1,600,000 ريال"
,,
فيلا للبيع في شارع محمد الجرواني ، حي طويق ، الرياض ، الرياض,300 م²,"1,180,000 ريال"
,,
فيلا للبيع في شارع القطان ، حي طويق ، الرياض ، الرياض,250 م²,"1,050,000 ريال"
,,
فيلا للبيع في شارع عبدالله بن عمرو ، حي الرمال ، الرياض ، الرياض,400 م²,"1,550,000 ريال"
,,
فيلا للبيع في شارع البشاريه ، حي طويق ، الرياض ، الرياض,375 م²,"1,160,000 ريال"
,,
فيلا للبيع في شارع عيسى الخياط ، حي الربوة ، الرياض ، الرياض,780 م²,"3,500,000 ريال"
,,
فيلا للبيع في شارع الليث ، حي طويق ، الرياض ، الرياض,200 م²,"950,000 ريال"
,,
فيلا للبيع في شارع وعلة ، حي العقيق ، الرياض ، الرياض,250 م²,"1,800,000 ريال"
,,
فيلا للبيع في حي العارض ، الرياض ، الرياض,370 م²,"2,500,000 ريال"
,,
فيلا للبيع في طريق صلبوخ ، حي حطين ، الرياض ، الرياض,600 م²,"6,000,000 ريال"
,,
فيلا للبيع في شارع العريضة ، حي طويق ، الرياض ، الرياض,200 م²,"960,000 ريال"
,,
"فيلا للبيع في طريق بدون اسم, الرمال, الرياض",300 م²,"1,350,000 ريال"
,,
فيلا للبيع في شارع القاسمي ، حي الرفيعة ، الرياض ، الرياض,1800 م²,"15,000,000 ريال"
,,
فيلا للبيع في شارع علي بن محمد البطليوسي ، حي طويق ، الرياض ، الرياض,200 م²,"1,000,000 ريال"
,,
فيلا للبيع في شارع الحنفي ، حي طويق ، الرياض ، الرياض,200 م²,"980,000 ريال"
,,
فيلا للبيع في حي مطار الملك خالد الدولي ، الرياض ، الرياض,240 م²,"1,170,000 ريال"
,,
فيلا للبيع في طريق النفود ، حي عكاظ ، الرياض ، الرياض,324 م²,"1,095,000 ريال"
,,
فيلا للبيع في شارع ابي المظفر الواسطي ، حي اشبيلية ، الرياض ، الرياض,350 م²,"1,900,000 ريال"
,,
فيلا للبيع في حي الرمال ، الرياض ، الرياض,281 م²,"1,230,000 ريال"
,,
فيلا للبيع في شارع الزنجيبل ، حي الحمراء ، الرياض ، الرياض,5933 م²,"30,000,000 ريال"
,,
فيلا للبيع في حي اليرموك ، الرياض ، الرياض,422 م²,"2,950,000 ريال"
,,
فيلا للبيع في حي بدر ، الرياض ، الرياض,315 م²,"1,100,000 ريال"
,,
فيلا للبيع في حي مطار الملك خالد الدولي ، الرياض ، الرياض,300 م²,"1,330,000 ريال"
,,
فيلا للبيع في شارع نجم الدين الأيوبي ، حي طويق ، الرياض ، الرياض,260 م²,"1,220,000 ريال"
,,
فيلا للبيع في شارع الضياء ، حي الجنادرية ، الرياض ، الرياض,272 م²,"1,350,000 ريال"
,,
فيلا للبيع في شارع سليمان بن عبدالملك بن مروان ، حي طويق ، الرياض ، الرياض,375 م²,"1,600,000 ريال"
,,
فيلا للبيع في شارع معدان بن ربيعة ، حي النهضة ، الرياض ، الرياض,750 م²,"2,600,000 ريال"
,,
فيلا للبيع في شارع العمره ، حي الجنادرية ، الرياض ، الرياض,270 م²,"1,350,000 ريال"
,,
فيلا للبيع في حي الرمال ، الرياض ، الرياض,231 م²,"1,500,000 ريال"
,,
فيلا للبيع في شارع العيسان ، حي القدس ، الرياض ، الرياض,200 م²,"1,650,000 ريال"
,,
فيلا للبيع في حي القادسية ، الرياض ، الرياض,204 م²,"1,200,000 ريال"
,,
فيلا للبيع في شارع عبدالرحمن الداخل ، حي طويق ، الرياض ، الرياض,300 م²,"1,250,000 ريال"
,,
فيلا للبيع في طريق ابي بكر الصديق ، حي النرجس ، الرياض ، الرياض,250 م²,"2,100,000 ريال"
,,
فيلا للبيع في شارع محمد نور المارديني ، حي طويق ، الرياض ، الرياض,300 م²,"1,220,000 ريال"
,,
فيلا للبيع في شارع الحيرة ، حي الملقا ، الرياض ، الرياض,405 م²,"4,500,000 ريال"
,,
فيلا للبيع في شارع دعبل الخزاعي ، حي المنار ، الرياض ، الرياض,500 م²,"2,000,000 ريال"
,,
فيلا للبيع في شارع الذهبي ، حي طويق ، الرياض ، الرياض,250 م²,"1,100,000 ريال"
,,
فيلا للبيع في شارع صالح العذل ، حي طويق ، الرياض ، الرياض,300 م²,"1,200,000 ريال"
,,
فيلا للبيع في شارع احمد بن الخطاب ، حي طويق ، الرياض ، الرياض,300 م²,"1,225,000 ريال"
,,
فيلا للبيع في شارع محمد بن عبدالباقي سنبل ، حي طويق ، الرياض ، الرياض,300 م²,"1,300,000 ريال"
,,
فيلا للبيع في حي الياسمين ، الرياض ، الرياض,462 م²,"5,000,000 ريال"
,,
فيلا للبيع في شارع الميناء ، حي النظيم ، الرياض ، الرياض,350 م²,"1,080,000 ريال"
,,
فيلا للبيع في شارع عمر الزبيدي ، حي طويق ، الرياض ، الرياض,300 م²,"1,150,000 ريال"
,,
فيلا للبيع في طريق النفود ، حي عكاظ ، الرياض ، الرياض,300 م²,"1,000,000 ريال"
,,
فيلا للبيع في شارع محايل ، حي حطين ، الرياض ، الرياض,2000 م²,"25,000,000 ريال"
,,
فيلا للبيع في شارع الغزالة ، حي طيبة ، الرياض ، الرياض,220 م²,"850,000 ريال"
,,
فيلا للبيع في حي ، طريق السيل الكبير ، حي المهدية ، الرياض ، الرياض,250 م²,"1,550,000 ريال"
,,
فيلا للبيع في حي بدر ، الرياض ، الرياض,225 م²,"890,000 ريال"
,,
فيلا للبيع في شارع عذبه ، حي طيبة ، الرياض ، الرياض,270 م²,"890,000 ريال"
,,
فيلا للبيع في شارع البيان ، حي الشرق ، الرياض ، رماح,360 م²,"1,500,000 ريال"
,,
فيلا للبيع في شارع الشيخ محمد بن عبداللطيف بن عبدالرحمن ، حي السويدي الغربي ، الرياض ، الرياض,250 م²,"1,350,000 ريال"
,,
فيلا للبيع في شارع الوليد بن خالد ، حي طويق ، الرياض ، الرياض,300 م²,"1,300,000 ريال"
,,
فيلا للبيع في شارع المرهف القيسي ، حي طويق ، الرياض ، الرياض,300 م²,"1,180,000 ريال"
,,
فيلا للبيع في شارع حمزه الهاشمي ، حي طويق ، الرياض ، الرياض,405 م²,"3,200,000 ريال"
,,
فيلا للبيع في حي الرمال ، الرياض ، الرياض,232 م²,"1,280,000 ريال"
,,
فيلا للبيع في شارع محمد نور المارديني ، حي طويق ، الرياض ، الرياض,300 م²,"1,220,000 ريال"
,,
فيلا للبيع في شارع الحيرة ، حي الملقا ، الرياض ، الرياض,405 م²,"4,500,000 ريال"
,,
فيلا للبيع في شارع سليمان بن عبدالملك بن مروان ، حي طويق ، الرياض ، الرياض,300 م²,"1,200,000 ريال"
,,
فيلا للبيع في حي ، طريق السيل الكبير ، حي المهدية ، الرياض ، الرياض,280 م²,"1,600,000 ريال"
,,
فيلا للبيع في حي الرمال ، الرياض ، الرياض,250 م²,"1,200,000 ريال"
,,
فيلا للبيع في شارع رقم 326 ، حي الملقا ، الرياض ، الرياض,425 م²,"5,300,000 ريال"
,,
فيلا للبيع في حي ، شارع النجاح ، حي المونسية ، الرياض ، الرياض,325 م²,"1,850,000 ريال"
,,
فيلا للبيع في حي الحزم ، الرياض ، الرياض,360 م²,"1,450,000 ريال"
,,
فيلا للبيع في شارع خديجة بنت خويلد ، حي طويق ، الرياض ، الرياض,375 م²,"1,650,000 ريال"
,,
فيلا للبيع في حي الرمال ، الرياض ، الرياض,300 م²,"1,300,000 ريال"
,,
فيلا للبيع في شارع سد مأرب ، حي الربوة ، الرياض ، الرياض,780 م²,"3,500,000 ريال"
,,
