,district_Name,property_size,property_price
9701,فيلا للبيع في الرياض ، حي الرمال ، الرياض,375 م²,"1,900,000 ريال"
9703,فيلا للبيع في حي قرطبة ، الرياض ، الرياض,420 م²,"3,600,000 ريال"
9705,فيلا للبيع في حي المونسية ، الرياض ، الرياض,300 م²,"2,250,000 ريال"
9707,فيلا للبيع في شارع السخاء ، حي بدر ، الرياض ، الرياض,274 م²,"1,050,000 ريال"
9709,فيلا للبيع في شارع احمد بن علي المحلي ، حي الرمال ، الرياض ، الرياض,300 م²,"1,350,000 ريال"
9711,فيلا للبيع في شارع الكثيفه ، حي طويق ، الرياض ، الرياض,300 م²,"1,200,000 ريال"
9713,فيلا للبيع في طريق الامام مالك ، حي بدر ، الرياض ، الرياض,228 م²,"950,000 ريال"
9715,فيلا للبيع في شارع يحيى بن صديق ، حي طويق ، الرياض ، الرياض,300 م²,"1,200,000 ريال"
9717,فيلا للبيع في شارع الجميزة ، حي العزيزية ، الرياض ، الرياض,300 م²,"1,000,000 ريال"
9719,فيلا للبيع في حي بدر ، الرياض ، الرياض,300 م²,"1,100,000 ريال"
