,district_Name,property_size,property_price
1,"فيلا للبيع في طريق بدون اسم, الرمال, الرياض",300 م²,"1,350,000 ريال"
3,فيلا للبيع في شارع الحيرة ، حي الملقا ، الرياض ، الرياض,405 م²,"4,500,000 ريال"
5,فيلا للبيع في حي الياسمين ، الرياض ، الرياض,375 م²,"3,700,000 ريال"
7,فيلا للبيع في شارع الفانوس ، حي الفيحاء ، الرياض ، الرياض,700 م²,"2,200,000 ريال"
9,فيلا للبيع في شارع القناني ، حي عكاظ ، الرياض ، الرياض,350 م²,"980,000 ريال"
11,فيلا للبيع في طريق النفود ، حي عكاظ ، الرياض ، الرياض,325 م²,"1,100,000 ريال"
13,فيلا للبيع في شارع احمد الكازرونى ، حي المهدية ، الرياض ، الرياض,200 م²,"1,430,000 ريال"
15,"فيلا للبيع في شارع ابو عبيده النابلسي, حي عكاظ, الرياض",506 م²,"1,300,000 ريال"
17,فيلا للبيع في شارع عبدالله بن عقيل ، حي ظهرة البديعة ، الرياض ، الرياض,216 م²,"1,230,000 ريال"
19,فيلا للبيع في شارع ابي القاسم السبتي ، حي الرمال ، الرياض ، الرياض,300 م²,"1,280,000 ريال"
21,فيلا للبيع في شارع ابي الطيب ، حي بدر ، الرياض ، الرياض,300 م²,"1,050,000 ريال"
23,فيلا للبيع في شارع الصفار الذهبي ، حي عكاظ ، الرياض ، الرياض,308 م²,"1,200,000 ريال"
25,فيلا للبيع في حي الرمال ، الرياض ، الرياض,324 م²,"1,500,000 ريال"
27,فيلا للبيع في طريق النفود ، حي عكاظ ، الرياض ، الرياض,325 م²,"1,110,000 ريال"
29,فيلا للبيع في شارع خيمر ، حي عكاظ ، الرياض ، الرياض,327 م²,"1,095,000 ريال"
31,فيلا للبيع في حي الملقا ، الرياض ، الرياض,336 م²,"3,300,000 ريال"
33,فيلا للبيع في شارع البنيان ، حي الغدير ، الرياض ، الرياض,600 م²,"4,200,000 ريال"
35,فيلا للبيع في شارع اسماعيل بن ابراهيم الربعي ، حي طويق ، الرياض ، الرياض,230 م²,"1,350,000 ريال"
37,فيلا للبيع في حي بدر ، الرياض ، الرياض,360 م²,"1,140,000 ريال"
39,فيلا للبيع في حي ، طريق السيل الكبير ، حي المهدية ، الرياض ، الرياض,200 م²,"1,500,000 ريال"
41,فيلا للبيع في شارع الكواكب ، حي القادسية ، الرياض,375 م²,"1,960,000 ريال"
43,فيلا للبيع في شارع بعلبك ، حي عكاظ ، الرياض ، الرياض,300 م²,"1,160,000 ريال"
45,فيلا للبيع في شارع رقم 94 ، حي ظهرة لبن ، الرياض ، الرياض,200 م²,"1,300,000 ريال"
47,فيلا للبيع في شارع الحيرة ، حي الملقا ، الرياض ، الرياض,405 م²,"4,500,000 ريال"
49,فيلا للبيع في طريق النفود ، حي عكاظ ، الرياض ، الرياض,325 م²,"1,100,000 ريال"
51,فيلا للبيع في شارع حمزه العدوي ، حي طويق ، الرياض ، الرياض,360 م²,"1,450,000 ريال"
53,فيلا للبيع في شارع سماح ، حي التعاون ، الرياض ، الرياض,325 م²,"2,850,000 ريال"
55,فيلا للبيع في حي الرمال ، الرياض ، الرياض,300 م²,"1,330,000 ريال"
57,فيلا للبيع في حي عكاظ ، الرياض ، الرياض,300 م²,"1,155,000 ريال"
59,فيلا للبيع في حي طيبة ، الرياض ، الرياض,325 م²,"670,000 ريال"
61,فيلا للبيع في شارع يحي الانسي ، حي طويق ، الرياض ، الرياض,270 م²,"1,140,000 ريال"
63,فيلا للبيع في شارع عامر بن مسعود ، حي طويق ، الرياض ، الرياض,250 م²,"1,100,000 ريال"
65,فيلا للبيع في حي الرمال ، الرياض ، الرياض,379 م²,"1,500,000 ريال"
67,فيلا للبيع في شارع رقم 199 ، حي النرجس ، الرياض ، الرياض,250 م²,"2,650,000 ريال"
69,فيلا للبيع في حي ، شارع عبدالله بن العاص ، حي العارض ، الرياض ، الرياض,480 م²,"3,200,000 ريال"
71,فيلا للبيع في شارع السلامه ، حي النرجس ، الرياض ، الرياض,240 م²,"4,100,000 ريال"
73,فيلا للبيع في شارع احمد بن الخطاب ، حي طويق ، الرياض ، الرياض,375 م²,"1,600,000 ريال"
75,فيلا للبيع في شارع عامر بن مخلد النجاري ، حي الرمال ، الرياض ، الرياض,210 م²,"1,250,000 ريال"
77,فيلا للبيع في حي اليرموك ، الرياض ، الرياض,322 م²,"2,100,000 ريال"
79,فيلا للبيع في شارع لقاح ، حي عكاظ ، الرياض ، الرياض,313 م²,"980,000 ريال"
81,فيلا للبيع في شارع الصفار الذهبي ، حي عكاظ ، الرياض ، الرياض,325 م²,"1,090,000 ريال"
83,فيلا للبيع في حي المهدية ، الرياض ، الرياض,750 م²,"3,500,000 ريال"
85,فيلا للبيع في حي المهدية ، الرياض ، الرياض,450 م²,"2,500,000 ريال"
87,فيلا للبيع في حي العزيزية ، الرياض ، الرياض,360 م²,"1,400,000 ريال"
89,فيلا للبيع في شارع القاسمي ، حي الرفيعة ، الرياض ، الرياض,1800 م²,"15,000,000 ريال"
91,فيلا للبيع في شارع الحيرة ، حي الملقا ، الرياض ، الرياض,405 م²,"4,500,000 ريال"
93,فيلا للبيع في شارع ابا الظلوف ، حي العزيزية ، الرياض ، الرياض,280 م²,"860,000 ريال"
95,فيلا للبيع في شارع محمد بن عبدالباقي ، حي عرقة ، الرياض ، الرياض,4600 م²,"45,000,000 ريال"
97,فيلا للبيع في طريق النفود ، حي عكاظ ، الرياض ، الرياض,350 م²,"1,130,000 ريال"
99,فيلا للبيع في حي ، شارع وادي الحسنا ، حي المهدية ، الرياض ، الرياض,200 م²,"1,300,000 ريال"
101,فيلا للبيع في طريق ابن تيمية ، حي الشفا ، الرياض ، الرياض,250 م²,"1,100,000 ريال"
103,فيلا للبيع في شارع احمد بن محمد الحاوي ، حي طويق ، الرياض ، الرياض,300 م²,"1,180,000 ريال"
105,فيلا للبيع في شارع الحضن ، حي الحزم ، الرياض ، الرياض,312 م²,"1,260,000 ريال"
107,فيلا للبيع في شارع انس بن مالك ، حي الملقا ، الرياض ، الرياض,1960 م²,"16,000,000 ريال"
109,فيلا للبيع في شارع الكاملي ، حي طويق ، الرياض ، الرياض,240 م²,"1,050,000 ريال"
111,فيلا للبيع في شارع الخشني ، حي النهضة ، الرياض ، الرياض,476 م²,"1,600,000 ريال"
113,فيلا للبيع في شارع محمد الجرواني ، حي طويق ، الرياض ، الرياض,300 م²,"1,180,000 ريال"
115,فيلا للبيع في شارع القطان ، حي طويق ، الرياض ، الرياض,250 م²,"1,050,000 ريال"
117,فيلا للبيع في شارع عبدالله بن عمرو ، حي الرمال ، الرياض ، الرياض,400 م²,"1,550,000 ريال"
119,فيلا للبيع في شارع البشاريه ، حي طويق ، الرياض ، الرياض,375 م²,"1,160,000 ريال"
121,فيلا للبيع في شارع عيسى الخياط ، حي الربوة ، الرياض ، الرياض,780 م²,"3,500,000 ريال"
123,فيلا للبيع في شارع الليث ، حي طويق ، الرياض ، الرياض,200 م²,"950,000 ريال"
125,فيلا للبيع في شارع وعلة ، حي العقيق ، الرياض ، الرياض,250 م²,"1,800,000 ريال"
127,فيلا للبيع في حي العارض ، الرياض ، الرياض,370 م²,"2,500,000 ريال"
129,فيلا للبيع في طريق صلبوخ ، حي حطين ، الرياض ، الرياض,600 م²,"6,000,000 ريال"
131,فيلا للبيع في شارع العريضة ، حي طويق ، الرياض ، الرياض,200 م²,"960,000 ريال"
133,"فيلا للبيع في طريق بدون اسم, الرمال, الرياض",300 م²,"1,350,000 ريال"
135,فيلا للبيع في شارع القاسمي ، حي الرفيعة ، الرياض ، الرياض,1800 م²,"15,000,000 ريال"
137,فيلا للبيع في شارع علي بن محمد البطليوسي ، حي طويق ، الرياض ، الرياض,200 م²,"1,000,000 ريال"
139,فيلا للبيع في شارع الحنفي ، حي طويق ، الرياض ، الرياض,200 م²,"980,000 ريال"
141,فيلا للبيع في حي مطار الملك خالد الدولي ، الرياض ، الرياض,240 م²,"1,170,000 ريال"
143,فيلا للبيع في طريق النفود ، حي عكاظ ، الرياض ، الرياض,324 م²,"1,095,000 ريال"
145,فيلا للبيع في شارع ابي المظفر الواسطي ، حي اشبيلية ، الرياض ، الرياض,350 م²,"1,900,000 ريال"
147,فيلا للبيع في حي الرمال ، الرياض ، الرياض,281 م²,"1,230,000 ريال"
149,فيلا للبيع في شارع الزنجيبل ، حي الحمراء ، الرياض ، الرياض,5933 م²,"30,000,000 ريال"
151,فيلا للبيع في حي اليرموك ، الرياض ، الرياض,422 م²,"2,950,000 ريال"
153,فيلا للبيع في حي بدر ، الرياض ، الرياض,315 م²,"1,100,000 ريال"
155,فيلا للبيع في حي مطار الملك خالد الدولي ، الرياض ، الرياض,300 م²,"1,330,000 ريال"
157,فيلا للبيع في شارع نجم الدين الأيوبي ، حي طويق ، الرياض ، الرياض,260 م²,"1,220,000 ريال"
159,فيلا للبيع في شارع الضياء ، حي الجنادرية ، الرياض ، الرياض,272 م²,"1,350,000 ريال"
161,فيلا للبيع في شارع سليمان بن عبدالملك بن مروان ، حي طويق ، الرياض ، الرياض,375 م²,"1,600,000 ريال"
163,فيلا للبيع في شارع معدان بن ربيعة ، حي النهضة ، الرياض ، الرياض,750 م²,"2,600,000 ريال"
165,فيلا للبيع في شارع العمره ، حي الجنادرية ، الرياض ، الرياض,270 م²,"1,350,000 ريال"
167,فيلا للبيع في حي الرمال ، الرياض ، الرياض,231 م²,"1,500,000 ريال"
169,فيلا للبيع في شارع العيسان ، حي القدس ، الرياض ، الرياض,200 م²,"1,650,000 ريال"
171,فيلا للبيع في حي القادسية ، الرياض ، الرياض,204 م²,"1,200,000 ريال"
173,فيلا للبيع في شارع عبدالرحمن الداخل ، حي طويق ، الرياض ، الرياض,300 م²,"1,250,000 ريال"
175,فيلا للبيع في طريق ابي بكر الصديق ، حي النرجس ، الرياض ، الرياض,250 م²,"2,100,000 ريال"
177,فيلا للبيع في شارع محمد نور المارديني ، حي طويق ، الرياض ، الرياض,300 م²,"1,220,000 ريال"
179,فيلا للبيع في شارع الحيرة ، حي الملقا ، الرياض ، الرياض,405 م²,"4,500,000 ريال"
181,فيلا للبيع في شارع دعبل الخزاعي ، حي المنار ، الرياض ، الرياض,500 م²,"2,000,000 ريال"
183,فيلا للبيع في شارع الذهبي ، حي طويق ، الرياض ، الرياض,250 م²,"1,100,000 ريال"
185,فيلا للبيع في شارع صالح العذل ، حي طويق ، الرياض ، الرياض,300 م²,"1,200,000 ريال"
187,فيلا للبيع في شارع احمد بن الخطاب ، حي طويق ، الرياض ، الرياض,300 م²,"1,225,000 ريال"
189,فيلا للبيع في شارع محمد بن عبدالباقي سنبل ، حي طويق ، الرياض ، الرياض,300 م²,"1,300,000 ريال"
191,فيلا للبيع في حي الياسمين ، الرياض ، الرياض,462 م²,"5,000,000 ريال"
193,فيلا للبيع في شارع الميناء ، حي النظيم ، الرياض ، الرياض,350 م²,"1,080,000 ريال"
195,فيلا للبيع في شارع عمر الزبيدي ، حي طويق ، الرياض ، الرياض,300 م²,"1,150,000 ريال"
197,فيلا للبيع في طريق النفود ، حي عكاظ ، الرياض ، الرياض,300 م²,"1,000,000 ريال"
199,فيلا للبيع في شارع محايل ، حي حطين ، الرياض ، الرياض,2000 م²,"25,000,000 ريال"
201,فيلا للبيع في شارع الغزالة ، حي طيبة ، الرياض ، الرياض,220 م²,"850,000 ريال"
203,فيلا للبيع في حي ، طريق السيل الكبير ، حي المهدية ، الرياض ، الرياض,250 م²,"1,550,000 ريال"
205,فيلا للبيع في حي بدر ، الرياض ، الرياض,225 م²,"890,000 ريال"
207,فيلا للبيع في شارع عذبه ، حي طيبة ، الرياض ، الرياض,270 م²,"890,000 ريال"
209,فيلا للبيع في شارع البيان ، حي الشرق ، الرياض ، رماح,360 م²,"1,500,000 ريال"
211,فيلا للبيع في شارع الشيخ محمد بن عبداللطيف بن عبدالرحمن ، حي السويدي الغربي ، الرياض ، الرياض,250 م²,"1,350,000 ريال"
213,فيلا للبيع في شارع الوليد بن خالد ، حي طويق ، الرياض ، الرياض,300 م²,"1,300,000 ريال"
215,فيلا للبيع في شارع المرهف القيسي ، حي طويق ، الرياض ، الرياض,300 م²,"1,180,000 ريال"
217,فيلا للبيع في شارع حمزه الهاشمي ، حي طويق ، الرياض ، الرياض,405 م²,"3,200,000 ريال"
219,فيلا للبيع في حي الرمال ، الرياض ، الرياض,232 م²,"1,280,000 ريال"
221,فيلا للبيع في شارع محمد نور المارديني ، حي طويق ، الرياض ، الرياض,300 م²,"1,220,000 ريال"
223,فيلا للبيع في شارع الحيرة ، حي الملقا ، الرياض ، الرياض,405 م²,"4,500,000 ريال"
225,فيلا للبيع في شارع سليمان بن عبدالملك بن مروان ، حي طويق ، الرياض ، الرياض,300 م²,"1,200,000 ريال"
227,فيلا للبيع في حي ، طريق السيل الكبير ، حي المهدية ، الرياض ، الرياض,280 م²,"1,600,000 ريال"
229,فيلا للبيع في حي الرمال ، الرياض ، الرياض,250 م²,"1,200,000 ريال"
231,فيلا للبيع في شارع رقم 326 ، حي الملقا ، الرياض ، الرياض,425 م²,"5,300,000 ريال"
233,فيلا للبيع في حي ، شارع النجاح ، حي المونسية ، الرياض ، الرياض,325 م²,"1,850,000 ريال"
235,فيلا للبيع في حي الحزم ، الرياض ، الرياض,360 م²,"1,450,000 ريال"
237,فيلا للبيع في شارع خديجة بنت خويلد ، حي طويق ، الرياض ، الرياض,375 م²,"1,650,000 ريال"
239,فيلا للبيع في حي الرمال ، الرياض ، الرياض,300 م²,"1,300,000 ريال"
241,فيلا للبيع في شارع سد مأرب ، حي الربوة ، الرياض ، الرياض,780 م²,"3,500,000 ريال"
243,فيلا للبيع في شارع خليل بن شاهين ، حي طويق ، الرياض ، الرياض,200 م²,"1,000,000 ريال"
245,فيلا للبيع في حي ، طريق السيل الكبير ، حي المهدية ، الرياض ، الرياض,375 م²,"2,250,000 ريال"
247,فيلا للبيع في شارع عبداللطيف بن المبارك ، حي المهدية ، الرياض ، الرياض,200 م²,"1,350,000 ريال"
249,فيلا للبيع في شارع الفضل بن الحباب ، حي العزيزية ، الرياض,250 م²,"930,000 ريال"
251,فيلا للبيع في حي ، شارع نجم الدين الأيوبي ، حي ظهرة نمار ، الرياض ، الرياض,255 م²,"1,400,000 ريال"
253,فيلا للبيع في شارع يوسف النحوي ، حي طويق ، الرياض ، الرياض,375 م²,"1,550,000 ريال"
255,فيلا للبيع في شارع الظهرية ، حي اشبيلية ، الرياض ، الرياض,300 م²,"2,000,000 ريال"
257,فيلا للبيع في شارع سالم بن عبدالله البصري ، حي طويق ، الرياض ، الرياض,390 م²,"1,150,000 ريال"
259,فيلا للبيع في شارع سليمان بن عبدالملك بن مروان ، حي طويق ، الرياض ، الرياض,375 م²,"1,200,000 ريال"
261,فيلا للبيع في حي ، شارع الامير سعود بن عبدالله بن جلوي ، حي القيروان ، الرياض ، الرياض,736 م²,"4,000,000 ريال"
263,فيلا للبيع في شارع الشفا ، حي ظهرة لبن ، الرياض ، الرياض,252 م²,"1,550,000 ريال"
265,فيلا للبيع في شارع رقم 94 ، حي ظهرة لبن ، الرياض ، الرياض,200 م²,"1,300,000 ريال"
267,"فيلا للبيع في طريق بدون اسم, الرمال, الرياض",300 م²,"1,350,000 ريال"
269,فيلا للبيع في شارع سليمان بن عبدالملك بن مروان ، حي طويق ، الرياض ، الرياض,200 م²,"880,000 ريال"
271,فيلا للبيع في حي الرمال ، الرياض ، الرياض,246 م²,"1,350,000 ريال"
273,فيلا للبيع في شارع علوي العيدروس ، حي الرمال ، الرياض ، الرياض,417 م²,"1,750,000 ريال"
275,فيلا للبيع في حي ظهرة نمار ، الرياض ، الرياض,316 م²,"1,500,000 ريال"
277,فيلا للبيع في شارع ابن مخلوف ، حي عكاظ ، الرياض ، الرياض,375 م²,"1,160,000 ريال"
279,فيلا للبيع في حي ، طريق السيل الكبير ، حي المهدية ، الرياض ، الرياض,300 م²,"1,450,000 ريال"
281,فيلا للبيع في شارع جبل المعلق ، حي طويق ، الرياض ، الرياض,200 م²,"950,000 ريال"
283,فيلا للبيع في حي ، شارع ابن يوسف الاملي ، حي منفوحة الجديدة ، الرياض ، الرياض,214 م²,"270,000 ريال"
285,فيلا للبيع في شارع رقم 200 ، حي الملقا ، الرياض ، الرياض,700 م²,"7,300,000 ريال"
287,فيلا للبيع في شارع سمرة بن جندب ، حي العزيزية ، الرياض ، الرياض,240 م²,"1,000,000 ريال"
289,فيلا للبيع في شارع عبدالرازق القشعمي ، حي الحزم ، الرياض ، الرياض,250 م²,"150,000 ريال"
291,فيلا للبيع في شارع رقم 256 ، حي الملقا ، الرياض ، الرياض,414 م²,"4,400,000 ريال"
293,فيلا للبيع في حي الرمال ، الرياض ، الرياض,216 م²,"1,080,000 ريال"
295,فيلا للبيع في شارع احمد بن المبارك الخزفي ، حي طويق ، الرياض ، الرياض,300 م²,"1,170,000 ريال"
297,فيلا للبيع في حي ، شارع المضة ، حي العريجاء الغربية ، الرياض ، الرياض,575 م²,"1,350,000 ريال"
299,فيلا للبيع في حي النرجس ، الرياض ، الرياض,500 م²,"5,400,000 ريال"
301,فيلا للبيع في حي العريجاء الوسطى ، الرياض ، الرياض,200 م²,"1,000,000 ريال"
303,فيلا للبيع في حي الرمال ، الرياض ، الرياض,353 م²,"1,700,000 ريال"
305,فيلا للبيع في حي الدار البيضاء ، الرياض ، الرياض,280 م²,"980,000 ريال"
307,فيلا للبيع في شارع فاطمه البغداديه ، حي طيبة ، الرياض ، الرياض,276 م²,"850,000 ريال"
309,"فيلا للبيع في طريق بدون اسم, الرمال, الرياض",300 م²,"1,350,000 ريال"
311,فيلا للبيع في شارع الحيرة ، حي الملقا ، الرياض ، الرياض,405 م²,"4,500,000 ريال"
313,فيلا للبيع في شارع علي بن رشيد ، حي المهدية ، الرياض ، الرياض,200 م²,"1,250,000 ريال"
315,فيلا للبيع في شارع أحمد بن محمد المراكشي ، حي الرمال ، الرياض ، الرياض,312 م²,"1,550,000 ريال"
317,فيلا للبيع في شارع حسين جمل الليل ، حي طويق ، الرياض ، الرياض,360 م²,"1,450,000 ريال"
319,فيلا للبيع في شارع النخل ، حي اشبيلية ، الرياض ، الرياض,625 م²,"3,000,000 ريال"
321,فيلا للبيع في شارع معرة النعمان ، حي النهضة ، الرياض ، الرياض,476 م²,"1,600,000 ريال"
323,فيلا للبيع في حي المهدية ، الرياض ، الرياض,375 م²,"2,500,000 ريال"
325,فيلا للبيع في شارع ابي المنهال المهلي ، حي طويق ، الرياض ، الرياض,200 م²,"900,000 ريال"
327,فيلا للبيع في حي ظهرة نمار ، الرياض ، الرياض,450 م²,"2,000,000 ريال"
329,فيلا للبيع في طريق الملك سلمان ، حي العارض ، الرياض ، الرياض,270 م²,"2,700,000 ريال"
331,فيلا للبيع في حي ، طريق السيل الكبير ، حي المهدية ، الرياض ، الرياض,338 م²,"1,600,000 ريال"
333,فيلا للبيع في شارع سليمان بن عبدالملك بن مروان ، حي طويق ، الرياض ، الرياض,360 م²,"1,050,000 ريال"
335,فيلا للبيع في شارع عبدالله بن عمرو ، حي الرمال ، الرياض ، الرياض,300 م²,"1,330,000 ريال"
337,فيلا للبيع في شارع سليمان بن عبدالملك بن مروان ، حي طويق ، الرياض ، الرياض,390 م²,"1,700,000 ريال"
339,فيلا للبيع في الرياض ، حي المهدية ، الرياض,200 م²,"1,300,000 ريال"
341,فيلا للبيع في شارع واصل ، حي قرطبة ، الرياض ، الرياض,420 م²,"3,200,000 ريال"
343,فيلا للبيع في شارع واصل ، حي قرطبة ، الرياض ، الرياض,360 م²,"3,300,000 ريال"
345,فيلا للبيع في حي الياسمين ، الرياض ، الرياض,375 م²,"2,900,000 ريال"
347,فيلا للبيع في طريق السلطان قابوس بن سعيد ، حي القادسية ، الرياض ، الرياض,361 م²,"1,700,000 ريال"
349,فيلا للبيع في حي الدار البيضاء ، الرياض ، الرياض,250 م²,"840,000 ريال"
351,فيلا للبيع في حي المونسية ، الرياض ، الرياض,240 م²,"1,700,000 ريال"
353,فيلا للبيع في شارع القاسمي ، حي الرفيعة ، الرياض ، الرياض,1800 م²,"15,000,000 ريال"
355,فيلا للبيع في شارع الحيرة ، حي الملقا ، الرياض ، الرياض,405 م²,"4,500,000 ريال"
357,فيلا للبيع في شارع خزام ، حي مطار الملك خالد الدولي ، الرياض ، الرياض,300 م²,"1,300,000 ريال"
359,فيلا للبيع في حي المونسية ، الرياض ، الرياض,270 م²,"1,600,000 ريال"
361,فيلا للبيع في شارع عمر بن علي الجعدي ، حي طويق ، الرياض ، الرياض,300 م²,"1,150,000 ريال"
363,فيلا للبيع في شارع ابراهيم بن احمد الشيوي ، حي ظهرة نمار ، الرياض ، الرياض,300 م²,"1,350,000 ريال"
365,فيلا للبيع في شارع الزراعه ، حي طويق ، الرياض ، الرياض,375 م²,"1,500,000 ريال"
367,فيلا للبيع في حي ، طريق السيل الكبير ، حي المهدية ، الرياض ، الرياض,200 م²,"1,250,000 ريال"
369,فيلا للبيع في الرياض ، حي المهدية ، الرياض,200 م²,"1,300,000 ريال"
371,فيلا للبيع في شارع سليمان بن عبدالملك بن مروان ، حي طويق ، الرياض ، الرياض,375 م²,"1,600,000 ريال"
373,فيلا للبيع في حي الملك عبدالله ، الرياض ، الرياض,600 م²,"4,300,000 ريال"
375,فيلا للبيع في شارع فضل الله بن عبدالله الطبري ، حي الرمال ، الرياض ، الرياض,263 م²,"1,600,000 ريال"
377,فيلا للبيع في حي ، طريق السيل الكبير ، حي المهدية ، الرياض ، الرياض,200 م²,"1,280,000 ريال"
379,فيلا للبيع في شارع اوس الثقفي ، حي طويق ، الرياض ، الرياض,300 م²,"950,000 ريال"
381,فيلا للبيع في شارع عثمان الداغستاني ، حي ديراب ، الرياض ، الرياض,250 م²,"1,030,000 ريال"
383,فيلا للبيع في ميدان الدمشقية ، حي الرمال ، الرياض ، الرياض,375 م²,"1,780,000 ريال"
385,فيلا للبيع في حي ، شارع عبدالحق الهاشمي ، حي المهدية ، الرياض ، الرياض,216 م²,"1,450,000 ريال"
387,فيلا للبيع في شارع ابان بن سعيد ، حي بدر ، الرياض ، الرياض,300 م²,"900,000 ريال"
389,فيلا للبيع في شارع قاسم الاندلسي ، حي القادسية ، الرياض ، الرياض,455 م²,"2,200,000 ريال"
391,فيلا للبيع في شارع المنتزهات ، حي طويق ، الرياض ، الرياض,420 م²,"1,170,000 ريال"
393,فيلا للبيع في حي طويق ، الرياض ، الرياض,200 م²,"950,000 ريال"
395,فيلا للبيع في شارع تقي الدين الهلالي ، حي طويق ، الرياض ، الرياض,250 م²,"1,300,000 ريال"
397,"فيلا للبيع في طريق بدون اسم, الرمال, الرياض",300 م²,"1,350,000 ريال"
399,فيلا للبيع في شارع الحيرة ، حي الملقا ، الرياض ، الرياض,405 م²,"4,500,000 ريال"
401,فيلا للبيع في حي الدار البيضاء ، الرياض ، الرياض,330 م²,"880,000 ريال"
403,فيلا للبيع في شارع محمد صالح امام ، حي ظهرة نمار ، الرياض ، الرياض,300 م²,"1,350,000 ريال"
405,فيلا للبيع في شارع الجميحاء ، حي اليرموك ، الرياض ، الرياض,560 م²,"2,300,000 ريال"
407,فيلا للبيع في شارع الدوحه ، حي طويق ، الرياض ، الرياض,200 م²,"960,000 ريال"
409,فيلا للبيع في شارع فاطمة أم الحسن الطبري ، حي النرجس ، الرياض ، الرياض,312 م²,"2,700,000 ريال"
411,فيلا للبيع في طريق الثمامة ، حي الرمال ، الرياض ، الرياض,345 م²,"1,700,000 ريال"
413,فيلا للبيع في حي الدار البيضاء ، الرياض ، الرياض,250 م²,"850,000 ريال"
415,فيلا للبيع في حي الياسمين ، الرياض ، الرياض,988 م²,"6,000,000 ريال"
417,فيلا للبيع في شارع محمد الشرنبلالي ، حي طويق ، الرياض ، الرياض,300 م²,"1,150,000 ريال"
419,فيلا للبيع في شارع ابي موسى الاشعري ، حي الاندلس ، الرياض ، الرياض,375 م²,"2,330,000 ريال"
421,فيلا للبيع في حي الجنادرية ، الرياض ، الرياض,272 م²,"1,400,000 ريال"
423,فيلا للبيع في شارع احمد بن الخطاب ، حي طويق ، الرياض ، الرياض,300 م²,"1,180,000 ريال"
425,فيلا للبيع في شارع الظهيران ، حي بدر ، الرياض ، الرياض,366 م²,"1,100,000 ريال"
427,فيلا للبيع في شارع السرور ، حي طويق ، الرياض ، الرياض,200 م²,"970,000 ريال"
429,فيلا للبيع في حي العارض ، الرياض ، الرياض,351 م²,"2,800,000 ريال"
431,فيلا للبيع في شارع خالد بن عبدالله السلمي ، حي ظهرة نمار ، الرياض ، الرياض,300 م²,"1,230,000 ريال"
433,فيلا للبيع في شارع ابهاء ، حي طويق ، الرياض ، الرياض,200 م²,"900,000 ريال"
435,فيلا للبيع في حي العارض ، الرياض ، الرياض,338 م²,"2,550,000 ريال"
437,فيلا للبيع في شارع بعلبك ، حي عكاظ ، الرياض ، الرياض,375 م²,"1,350,000 ريال"
439,فيلا للبيع في شارع الحسين الهاشمي ، حي طويق ، الرياض ، الرياض,360 م²,"1,450,000 ريال"
441,فيلا للبيع في شارع الحيرة ، حي الملقا ، الرياض ، الرياض,405 م²,"4,500,000 ريال"
443,فيلا للبيع في شارع القاسمي ، حي الرفيعة ، الرياض ، الرياض,1800 م²,"15,000,000 ريال"
445,فيلا للبيع في شارع حيده بن معاويه ، حي طويق ، الرياض ، الرياض,390 م²,"1,500,000 ريال"
447,فيلا للبيع في شارع بلال بن رباح ، حي طويق ، الرياض ، الرياض,200 م²,"920,000 ريال"
449,فيلا للبيع في شارع ابي عبدالله الصقلي ، حي عكاظ ، الرياض ، الرياض,325 م²,"1,150,000 ريال"
451,فيلا للبيع في شارع الحارث بن سليل ، حي العارض ، الرياض ، الرياض,420 م²,"2,600,000 ريال"
453,فيلا للبيع في حي القيروان ، الرياض ، الرياض,190 م²,"2,100,000 ريال"
455,فيلا للبيع في حي ، طريق السيل الكبير ، حي المهدية ، الرياض ، الرياض,200 م²,"1,300,000 ريال"
457,فيلا للبيع في شارع الحجور ، حي النفل ، الرياض ، الرياض,360 م²,"2,400,000 ريال"
459,فيلا للبيع في شارع علي بن رومى ، حي اليرموك ، الرياض ، الرياض,422 م²,"3,000,000 ريال"
461,فيلا للبيع في شارع محب الله السليماني ، حي طويق ، الرياض ، الرياض,360 م²,"1,600,000 ريال"
463,فيلا للبيع في شارع علي البيتي ، حي طويق ، الرياض ، الرياض,200 م²,"900,000 ريال"
465,فيلا للبيع في حي الشرق ، الرياض ، رماح,448 م²,"1,370,000 ريال"
467,فيلا للبيع في شارع علوي العيدروس ، حي الرمال ، الرياض ، الرياض,417 م²,"1,750,000 ريال"
469,فيلا للبيع في حي ، طريق السيل الكبير ، حي المهدية ، الرياض ، الرياض,200 م²,"1,400,000 ريال"
471,فيلا للبيع في شارع الريامة ، حي السعادة ، الرياض ، الرياض,252 م²,"1,600,000 ريال"
473,فيلا للبيع في حي الرمال ، الرياض ، الرياض,315 م²,"1,330,000 ريال"
475,فيلا للبيع في طريق الأمير محمد بن سلمان بن عبدالعزيز ، حي الرمال ، الرياض ، الرياض,285 م²,"1,550,000 ريال"
477,فيلا للبيع في شارع الخليل بن أحمد ، حي بدر ، الرياض ، الرياض,360 م²,"1,100,000 ريال"
479,فيلا للبيع في شارع الخيالة ، حي الواحة ، الرياض ، الرياض,500 م²,"3,500,000 ريال"
481,فيلا للبيع في حي النرجس ، الرياض ، الرياض,312 م²,"3,000,000 ريال"
483,فيلا للبيع في حي الحزم ، الرياض ، الرياض,250 م²,"900,000 ريال"
485,فيلا للبيع في شارع محمد نور المارديني ، حي طويق ، الرياض ، الرياض,300 م²,"1,220,000 ريال"
